animal_name,hair,feathers,eggs,milk,airborne,aquatic,predator,toothed,backbone,breathes,venomous,fins,legs,tail,domestic,catsize,class_type
Tamandua,1,0,1,0,0,0,1,1,1,1,0,0,4,1,0,0,1
Squirrel_Monkey,1,0,1,0,1,0,1,1,1,1,0,0,4,1,0,0,1
Pangolin,0,0,1,0,0,0,1,1,1,1,0,0,4,1,0,0,1
Quokka,1,0,0,1,0,0,0,1,1,1,0,0,2,1,0,0,1
Axolotl,0,0,1,0,0,1,1,1,1,1,0,0,4,0,0,0,5
Kangaroo_Rat,1,0,1,0,0,0,0,1,1,1,0,0,2,1,0,0,1
Fossa,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,0,1
Lemur,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1
Red_Panda,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,0,1
Kinkajou,1,0,1,0,1,0,1,1,1,1,0,0,4,1,0,0,1
Okapi,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1
Armadillo,1,0,1,0,0,0,1,1,1,1,0,0,4,1,0,0,1
Meerkat,1,0,1,0,0,0,1,1,1,1,0,0,4,1,0,0,1
Tarsier,1,0,1,0,1,0,1,1,1,1,0,0,4,1,0,0,1
Pika,1,0,1,0,0,0,0,1,1,1,0,0,2,1,0,0,1
Wallaby,1,0,0,1,0,0,0,1,1,1,0,0,2,1,0,1,1
Aye-Aye,1,0,1,0,0,0,1,1,1,1,0,0,4,1,0,0,1
Capybara,1,0,1,0,0,1,0,1,1,1,0,0,4,1,1,1,1
Galago,1,0,1,0,1,0,1,1,1,1,0,0,4,1,0,0,1
Quoll,1,0,1,0,0,0,1,1,1,1,0,0,4,1,0,0,1
Potoroo,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1
Tasmanian_Devil,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,0,1
Armadillo,1,0,1,0,0,0,1,1,1,1,0,0,4,1,0,0,1
Giraffe,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1
Lynx,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,0,1
Wolverine,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,0,1
Platypus,1,1,1,1,0,1,1,1,1,1,0,1,2,1,0,0,1
Gibbon,1,0,0,1,0,0,1,1,1,1,0,0,2,1,0,0,1
Ibex,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1
Porcupine,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,0,1
Manatee,1,0,0,1,0,1,0,1,1,1,0,0,4,1,0,1,1
Gorilla,1,0,0,1,0,0,0,1,1,1,0,0,2,1,0,0,1
Hyrax,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,0,1
Pangolin,1,0,1,0,0,0,1,1,1,1,0,0,4,1,0,0,1
Ocelot,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,0,1
Quokka,1,0,0,1,0,0,0,1,1,1,0,0,2,1,0,0,1
Ring-tailed_Lemur,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,0,1
Tapir,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,0,1
Binturong,1,0,1,0,0,0,1,1,1,1,0,0,4,1,0,0,1
Walrus,1,0,0,1,0,1,1,1,1,1,0,0,4,1,0,0,1
Caracal,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,0,1
Marmoset,1,0,1,0,1,0,1,1,1,1,0,0,4,1,0,0,1
Sloth,1,0,0,1,0,0,0,1,1,1,0,0,4,0,0,0,1
Marmot,1,0,0,1,0,0,0,1,1,1,0,0,4,0,0,0,1
Lemming,1,0,1,0,0,0,0,1,1,1,0,0,4,1,0,0,1
Chinchilla,1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,0,1
Alpaca,1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,1,1
Guanaco,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1
Quokka,1,0,0,1,0,0,0,1,1,1,0,0,2,1,0,0,1
Platypus,1,1,1,1,0,1,1,1,1,1,0,1,2,1,0,0,1
Dhole,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1
Ferret,1,0,0,1,0,0,1,1,1,1,0,0,4,1,1,0,1
Weasel,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,0,1
Capybara,1,0,1,0,0,1,0,1,1,1,0,0,4,1,1,1,1
Coati,1,0,1,0,1,0,1,1,1,1,0,0,4,1,0,0,1
Wolverine,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,0,1
Armadillo,1,0,1,0,0,0,1,1,1,1,0,0,4,1,0,0,1
Hyena,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1
Civet,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,0,1
Kinkajou,1,0,1,0,1,0,1,1,1,1,0,0,4,1,0,0,1
Fossa,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,0,1
Mongoose,1,0,1,0,0,0,1,1,1,1,0,0,4,1,0,0,1
Binturong,1,0,1,0,0,0,1,1,1,1,0,0,4,1,0,0,1
Kangaroo,1,0,0,1,0,0,0,1,1,1,0,0,2,1,0,1,1
Lynx,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,0,1
Tarsier,1,0,1,0,1,0,1,1,1,1,0,0,4,1,0,0,1
Vicuña,1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,1,1
Mongoose,1,0,1,0,0,0,1,1,1,1,0,0,4,1,0,0,1
Fennec_Fox,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1
Gibbon,1,0,0,1,0,0,0,1,1,1,0,0,2,1,0,0,1
Gaur,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,0,1
Manatee,1,0,0,1,0,1,0,1,1,1,0,0,4,1,0,1,1
Marmoset,1,0,1,0,1,0,1,1,1,1,0,0,4,1,0,0,1
Marten,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,0,1
Otter,1,0,0,1,0,1,1,1,1,1,0,0,4,1,0,1,1
Pangolin,1,0,1,0,0,0,1,1,1,1,0,0,4,1,0,0,1
Peccary,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1
Porcupine,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,0,1
Red_Panda,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,0,1
Serval,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,0,1
Stoat,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,0,1
Takin,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,0,1
Sloth,1,0,0,1,0,0,0,1,1,1,0,0,4,0,0,0,1
Quokka,1,0,0,1,0,0,1,1,1,1,0,0,4,0,0,0,1
Armadillo,1,0,1,0,0,0,1,1,1,1,0,0,4,1,0,0,1
Pangolin,1,0,1,0,0,0,1,1,1,1,0,0,4,1,0,0,1
Red_Panda,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,0,1
Gibbon,1,0,0,1,0,0,1,1,1,1,0,0,2,1,0,0,1
Giraffe,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1
Lynx,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,0,1
Fossa,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,0,1
Kangaroo,1,0,0,1,0,0,0,1,1,1,0,0,2,1,0,1,1
Tapir,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,0,1
Marmoset,1,0,1,0,1,0,1,1,1,1,0,0,4,1,0,0,1
Vicuña,1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,1,1
Mongoose,1,0,1,0,0,0,1,1,1,1,0,0,4,1,0,0,1
Binturong,1,0,1,0,0,0,1,1,1,1,0,0,4,1,0,0,1
Kinkajou,1,0,1,0,1,0,1,1,1,1,0,0,4,1,0,0,1
Porcupine,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,0,1
Otter,1,0,0,1,0,1,1,1,1,1,0,0,4,1,0,1,1
Walrus,1,0,0,1,0,1,1,1,1,1,0,0,4,1,0,0,1
Wombat,1,0,0,1,0,0,0,1,1,1,0,0,4,0,0,0,1
Numbat,1,0,1,0,0,0,1,1,1,1,0,0,4,0,0,0,1
Platypus,1,1,1,1,0,1,1,1,1,1,0,1,2,0,0,0,1
Quoll,1,0,1,0,0,0,1,1,1,1,0,0,4,0,0,0,1
Emu,0,1,1,0,1,0,0,0,1,1,0,0,2,0,0,0,2
Oryx,1,0,0,1,0,0,0,1,1,1,0,0,4,0,0,1,1
Cassowary,0,1,1,0,1,0,1,0,1,1,0,0,2,0,0,0,2
Koala,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,0,1
Dingo,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1
Numbat,1,0,1,0,0,0,1,1,1,1,0,0,4,0,0,0,1
Armadillo,1,0,1,0,0,0,1,1,1,1,0,0,4,1,0,0,1
Bilby,1,0,1,0,0,0,1,1,1,1,0,0,4,0,0,0,1
Wallaby,1,0,0,1,0,0,0,1,1,1,0,0,2,1,0,1,1
Salamander,0,0,1,0,0,1,1,1,1,1,0,0,4,0,0,0,5
Iguana,0,0,1,0,0,0,1,1,1,1,0,0,4,0,0,0,3
Yak,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1
Fennec_Fox,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1
Tiger,1,0,0,1,0,0,1,1,1,1,0,0,4,0,0,1,1
Red_Panda,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,0,1
Alpaca,1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,1,1
